City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hermanus,ZA,57.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Bluff,NZ,59.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,Cape Town,ZA,62.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
11,Jamestown,US,62.6,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Macia,MZ,65.46,scattered clouds,-25.0269,33.0989,Tuck shop my life dcoza
19,Hasaki,JP,60.01,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
24,Kaitangata,NZ,59.29,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
32,East London,ZA,65.01,broken clouds,-33.0153,27.9116,Tu Casa
51,Port Alfred,ZA,62.42,broken clouds,-33.5906,26.891,The Halyards Hotel
61,Buraydah,SA,64.4,clear sky,26.326,43.975,فندق راحة السلام
62,Castro,BR,59.49,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
65,Asfi,MA,60.73,overcast clouds,32.2994,-9.2372,Hôtel Abda
68,Colesberg,ZA,61.47,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
75,Mataura,NZ,59.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
80,Bardiyah,LY,58.51,clear sky,31.7561,25.0865,بورتو بردية
82,Lagoa,PT,59.7,few clouds,39.05,-27.9833,Casa Das Faias
95,El Dorado,US,62.01,clear sky,38.7666,-120.5177,Bridal Veil Campground
96,Havelock,US,64.99,broken clouds,34.8791,-76.9013,Sherwood Motel
97,Half Moon Bay,US,59.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
103,Ribeira Grande,PT,60.04,clear sky,38.5167,-28.7,Quinta da Meia Eira
110,Bredasdorp,ZA,60.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
116,Ponta Delgada,PT,57.2,few clouds,37.7333,-25.6667,Vila Nova Hotel
120,Seoul,KR,60.8,clear sky,37.5683,126.9778,Lotte Hotel Seoul
121,Tuatapere,NZ,59.0,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
132,Mayo,US,57.99,clear sky,38.8876,-76.5119,Resorts Resource Group International
133,Valparaiso,CL,61.0,clear sky,-33.0393,-71.6273,Hotel Ultramar
143,Adra,ES,60.8,clear sky,36.7496,-3.0206,Hostal Zapata
