City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Ayame,5.6083,-3.1563,76.59,95,16,2.84,CI,few clouds
1,Sorong,-0.8833,131.25,82.56,77,95,0.69,ID,overcast clouds
2,Hermanus,-34.4187,19.2345,57.0,95,63,1.01,ZA,broken clouds
3,Albany,42.6001,-73.9662,53.6,40,20,6.91,US,few clouds
4,Yomou,7.5603,-9.2653,72.07,94,100,2.73,GN,overcast clouds
5,Busselton,-33.65,115.3333,66.99,85,99,7.0,AU,light rain
6,Pevek,69.7008,170.3133,-11.02,94,100,5.77,RU,overcast clouds
7,Warwick,41.7001,-71.4162,48.99,66,20,4.61,US,few clouds
8,Bluff,-46.6,168.3333,59.0,78,96,11.99,NZ,overcast clouds
9,Cape Town,-33.9258,18.4232,62.01,94,0,5.75,ZA,clear sky
10,Ferme-Neuve,46.7001,-75.4493,41.0,48,100,1.86,CA,overcast clouds
11,Jamestown,42.097,-79.2353,62.6,51,1,5.75,US,clear sky
12,Macia,-25.0269,33.0989,65.46,82,44,2.57,MZ,scattered clouds
13,Bataipora,-22.2953,-53.2711,72.81,64,76,5.08,BR,broken clouds
14,Clyde River,70.4692,-68.5914,3.2,72,1,2.3,CA,clear sky
15,Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,47,11,4.47,RU,few clouds
16,Kapaa,22.0752,-159.319,75.2,64,75,21.85,US,broken clouds
17,Great Falls,47.5002,-111.3008,55.0,35,1,8.05,US,clear sky
18,Pocone,-16.2567,-56.6228,72.95,95,100,3.83,BR,heavy intensity rain
19,Hasaki,35.7333,140.8333,60.01,54,20,8.05,JP,few clouds
20,Ushuaia,-54.8,-68.3,46.4,87,75,5.75,AR,broken clouds
21,Torbay,47.6666,-52.7314,36.0,100,90,10.36,CA,light rain
22,Cidreira,-30.1811,-50.2056,73.11,80,0,15.86,BR,clear sky
23,Georgetown,5.4112,100.3354,82.4,89,20,3.44,MY,few clouds
24,Kaitangata,-46.2817,169.8464,59.29,62,100,3.02,NZ,overcast clouds
25,Naze,28.3667,129.4833,71.6,53,20,19.57,JP,few clouds
26,Quatre Cocos,-20.2078,57.7625,75.99,94,75,12.66,MU,light rain
27,Mana,5.6592,-53.7767,77.97,86,100,7.99,GF,overcast clouds
28,Rikitea,-23.1203,-134.9692,77.5,67,12,10.47,PF,few clouds
29,Gigmoto,13.7796,124.39,80.15,72,45,13.73,PH,scattered clouds
30,Gobabis,-22.45,18.9667,65.05,60,9,8.52,NA,clear sky
31,Berdigestyakh,62.0989,126.6992,7.29,84,63,6.4,RU,broken clouds
32,East London,-33.0153,27.9116,65.01,84,67,11.88,ZA,broken clouds
33,Qaanaaq,77.484,-69.3632,-2.07,75,96,4.7,GL,overcast clouds
34,Bengkulu,-3.8004,102.2655,77.94,76,93,4.29,ID,overcast clouds
35,Barrow,71.2906,-156.7887,-5.8,77,75,10.36,US,broken clouds
36,Kruisfontein,-34.0033,24.7314,55.0,96,100,1.99,ZA,overcast clouds
37,Jasper,37.2001,-94.3502,71.6,56,90,16.11,US,overcast clouds
38,Shipitsyno,61.2806,46.5208,35.24,91,100,8.99,RU,overcast clouds
39,Shihezi,44.3,86.0333,50.97,55,84,4.97,CN,broken clouds
40,Buchanan,5.8808,-10.0467,78.8,94,40,2.19,LR,light rain
41,Kahului,20.8947,-156.47,75.2,57,40,14.97,US,scattered clouds
42,Estelle,29.8458,-90.1067,72.0,83,40,12.66,US,scattered clouds
43,Sitka,57.0531,-135.33,37.4,81,90,6.91,US,snow
44,Khatanga,71.9667,102.5,-6.12,100,100,6.44,RU,overcast clouds
45,Mar Del Plata,-38.0023,-57.5575,70.0,94,40,11.5,AR,scattered clouds
46,Dudinka,69.4058,86.1778,9.05,94,71,11.34,RU,broken clouds
47,Boa Vista,2.8197,-60.6733,77.0,94,75,2.3,BR,light rain
48,Harrison,30.4091,-89.0436,68.0,77,20,4.61,US,few clouds
49,Teya,60.3778,92.6267,33.67,89,100,8.41,RU,overcast clouds
50,Port Elizabeth,-33.918,25.5701,55.4,94,0,4.61,ZA,clear sky
51,Port Alfred,-33.5906,26.891,62.42,85,54,8.72,ZA,broken clouds
52,Norman Wells,65.282,-126.8329,10.4,52,75,5.75,CA,broken clouds
53,Arraial Do Cabo,-22.9661,-42.0278,73.4,83,75,5.75,BR,light rain
54,San Patricio,28.017,-97.5169,73.4,83,75,20.71,US,broken clouds
55,Victoria,22.2855,114.1577,73.0,78,96,1.99,HK,overcast clouds
56,Chokurdakh,70.6333,147.9167,-2.31,75,100,2.24,RU,overcast clouds
57,Xifeng,42.7372,124.7222,41.23,15,0,10.25,CN,clear sky
58,Tomatlan,19.9333,-105.25,74.8,64,0,4.68,MX,clear sky
59,Nicoya,10.1483,-85.452,84.2,42,0,8.05,CR,clear sky
60,Hudson Bay,52.85,-102.3842,47.59,65,18,2.57,CA,few clouds
61,Buraydah,26.326,43.975,64.4,25,0,5.75,SA,clear sky
62,Castro,-24.7911,-50.0119,59.49,97,91,6.24,BR,overcast clouds
63,Hilo,19.7297,-155.09,71.6,83,90,10.22,US,moderate rain
64,Talnakh,69.4865,88.3972,12.27,98,97,3.89,RU,overcast clouds
65,Asfi,32.2994,-9.2372,60.73,91,98,2.82,MA,overcast clouds
66,Saskylakh,71.9167,114.0833,9.99,92,100,7.43,RU,overcast clouds
